,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_0,52,0.38801207542419436,0.045888218710426594,0.014442777633666993,0.0017551680058580212,30,0.0025,1,rbf,"{'C': 30, 'epsilon': 0.0025, 'gamma': 1, 'kernel': 'rbf'}",-2.63327129702513e-06,-3.0325346338951706e-06,-2.5169098473741796e-06,-2.3363282367492272e-06,-2.667659735730493e-06,-2.63734075015484e-06,2.2900923241310888e-07,35
Output_0,53,0.3350493907928467,0.05896543757833196,0.008581113815307618,0.001403137803487225,30,0.0025,2,rbf,"{'C': 30, 'epsilon': 0.0025, 'gamma': 2, 'kernel': 'rbf'}",-2.1727045952547733e-06,-2.166708661957632e-06,-1.890052288069245e-06,-1.873759717151098e-06,-1.747055757294224e-06,-1.9700562039453943e-06,1.7037687570418567e-07,21
Output_0,54,0.35706472396850586,0.03583708667136802,0.009597492218017579,0.0013772875396330553,30,0.0025,4,rbf,"{'C': 30, 'epsilon': 0.0025, 'gamma': 4, 'kernel': 'rbf'}",-2.2798723711041006e-06,-2.189140485609011e-06,-1.8559568897470796e-06,-2.0442001472338815e-06,-2.115428572358961e-06,-2.0969196932106067e-06,1.436393808725956e-07,23
Output_0,55,0.40029115676879884,0.012965152073615796,0.009388256072998046,0.001622122593702516,30,0.0025,5,rbf,"{'C': 30, 'epsilon': 0.0025, 'gamma': 5, 'kernel': 'rbf'}",-2.294737672247354e-06,-1.9136132804608495e-06,-2.0650239376769564e-06,-2.2030712502638912e-06,-2.094388249348479e-06,-2.1141668779995057e-06,1.2925770179264473e-07,25
Output_0,56,0.2030635356903076,0.021231842521746605,0.007015132904052734,0.0005341116758643326,30,0.005,1,rbf,"{'C': 30, 'epsilon': 0.005, 'gamma': 1, 'kernel': 'rbf'}",-9.476101274642471e-06,-1.010863967730559e-05,-9.60671563463817e-06,-9.240445045632206e-06,-9.60466213386969e-06,-9.607312753217626e-06,2.839522615257304e-07,56
Output_0,57,0.17904701232910156,0.019557697732834577,0.006236076354980469,0.0007462649602913855,30,0.005,2,rbf,"{'C': 30, 'epsilon': 0.005, 'gamma': 2, 'kernel': 'rbf'}",-8.402921602786143e-06,-8.73593434822822e-06,-7.952085533562983e-06,-7.46805372767756e-06,-7.360713549640872e-06,-7.983941752379155e-06,5.28508400057188e-07,51
Output_0,58,0.15875277519226075,0.023009139534562267,0.004640626907348633,0.0013986243206422636,30,0.005,4,rbf,"{'C': 30, 'epsilon': 0.005, 'gamma': 4, 'kernel': 'rbf'}",-7.831348306817092e-06,-7.098061463348797e-06,-6.305404319486145e-06,-7.797729159469268e-06,-6.874465269812495e-06,-7.181401703786759e-06,5.780686995327384e-07,41
Output_0,59,0.15568394660949708,0.029020563243200594,0.005617189407348633,0.0010181845387144664,30,0.005,5,rbf,"{'C': 30, 'epsilon': 0.005, 'gamma': 5, 'kernel': 'rbf'}",-7.95403766234945e-06,-7.81044740336523e-06,-6.21480674825846e-06,-7.0426795178376415e-06,-7.438682935978281e-06,-7.292130853557813e-06,6.246764568866667e-07,45
Output_1,0,0.2370009422302246,0.01851363285962535,0.01039118766784668,0.0018358347161653668,10,0.001,1,rbf,"{'C': 10, 'epsilon': 0.001, 'gamma': 1, 'kernel': 'rbf'}",-4.271630063907489e-07,-4.770415123375538e-07,-5.056862686899117e-07,-3.68972187649191e-07,-3.932747664048555e-07,-4.344275482944522e-07,5.0841881214977906e-08,5
Output_1,1,0.20177278518676758,0.02477187403224381,0.012481880187988282,0.0028733758221793164,10,0.001,2,rbf,"{'C': 10, 'epsilon': 0.001, 'gamma': 2, 'kernel': 'rbf'}",-4.7357233863135685e-07,-5.670364199294945e-07,-5.000408182196707e-07,-5.133777508369395e-07,-5.25746113138201e-07,-5.159546881511325e-07,3.085893950766e-08,19
