,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_0,28,0.0031241416931152345,0.006248283386230469,0.0,0.0,1,20,0.1,rbf,"{'C': 1, 'epsilon': 20, 'gamma': 0.1, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.002724754470374876,19
Output_0,29,0.0,0.0,0.0,0.0,1,20,1,rbf,"{'C': 1, 'epsilon': 20, 'gamma': 1, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.002724754470374876,19
Output_0,30,0.0915365219116211,0.007170374679754686,0.03517022132873535,0.009056179719124193,10,0.01,0.01,rbf,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",-0.0004255199938267395,-0.0004960887692422074,-0.00044963240247053194,-0.0005053018266792872,-0.0004918501749787006,-0.00047367863343949335,3.075685696703194e-05,6
Output_0,31,0.017183685302734376,0.0019313116070950054,0.00664052963256836,0.007366732812649937,10,0.01,0.1,rbf,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",-2.7489047189621477e-05,-2.5918688950764607e-05,-2.5780692732043224e-05,-2.5630187498758317e-05,-2.475029105885927e-05,-2.591378148600938e-05,8.869424175552778e-07,1
Output_0,32,0.023320388793945313,0.006981861578953725,0.0003971576690673828,0.0007943153381347656,10,0.01,1,rbf,"{'C': 10, 'epsilon': 0.01, 'gamma': 1, 'kernel': 'rbf'}",-2.6455648369282935e-05,-3.104759383121983e-05,-3.134393544464738e-05,-2.8943280714745662e-05,-2.708602765209405e-05,-2.897529720239797e-05,1.991173280851165e-06,2
Output_0,33,0.005759620666503906,0.0031847661924159897,0.0015958309173583984,0.0013529226969896996,10,0.1,0.01,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.0020495499728339682,-0.0023945408601517702,-0.002334054680337418,-0.002259019448018162,-0.0024315704976038692,-0.002293747091789038,0.00013536441096062037,13
Output_0,34,0.0030014514923095703,0.006002902984619141,0.0,0.0,10,0.1,0.1,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.001555596536792187,-0.001732704528955305,-0.0016633827987294705,-0.0016108394416808444,-0.001632352488824519,-0.001638975158996465,5.859761199907703e-05,8
Output_0,35,0.0031251907348632812,0.0062503814697265625,0.0,0.0,10,0.1,1,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",-0.002092887416129525,-0.0019420623431107805,-0.0022570494542568857,-0.0018492196477433581,-0.002164521042200864,-0.0020611479806882825,0.00014776046584727442,9
Output_0,36,0.0,0.0,0.0,0.0,10,1,0.01,rbf,"{'C': 10, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04612454783741657,-0.04955894769385513,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.0027247544703748734,19
Output_0,37,0.0,0.0,0.0,0.0,10,1,0.1,rbf,"{'C': 10, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.04612454783741657,-0.04955894769385513,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.0027247544703748734,19
Output_0,38,0.0,0.0,0.0,0.0,10,1,1,rbf,"{'C': 10, 'epsilon': 1, 'gamma': 1, 'kernel': 'rbf'}",-0.04612454783741657,-0.04955894769385513,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.0027247544703748734,19
Output_0,39,0.003124237060546875,0.00624847412109375,0.0,0.0,10,10,0.01,rbf,"{'C': 10, 'epsilon': 10, 'gamma': 0.01, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.043980647983943466,-0.05139882418140987,-0.04819504990405542,0.002724754470374874,19
Output_0,40,0.0,0.0,0.0,0.0,10,10,0.1,rbf,"{'C': 10, 'epsilon': 10, 'gamma': 0.1, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.043980647983943466,-0.05139882418140987,-0.04819504990405542,0.002724754470374874,19
Output_0,41,0.0,0.0,0.0,0.0,10,10,1,rbf,"{'C': 10, 'epsilon': 10, 'gamma': 1, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.043980647983943466,-0.05139882418140987,-0.04819504990405542,0.002724754470374874,19
Output_0,42,0.0,0.0,0.0,0.0,10,20,0.01,rbf,"{'C': 10, 'epsilon': 20, 'gamma': 0.01, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.002724754470374876,19
Output_0,43,0.0,0.0,0.0,0.0,10,20,0.1,rbf,"{'C': 10, 'epsilon': 20, 'gamma': 0.1, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.002724754470374876,19
Output_0,44,0.0031306266784667967,0.0062612533569335925,0.0,0.0,10,20,1,rbf,"{'C': 10, 'epsilon': 20, 'gamma': 1, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.002724754470374876,19
Output_1,0,0.1088752269744873,0.007365312773058753,0.05372762680053711,0.007923438029795473,0.1,0.01,0.01,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",-0.045222789452201866,-0.047902457941223664,-0.04947328061505183,-0.046933195412472824,-0.041900022161946764,-0.04628634911657939,0.002590666846670467,17
Output_1,1,0.10283246040344238,0.010623627147207734,0.0556605339050293,0.010416450976625176,0.1,0.01,0.1,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",-0.03828194111782972,-0.04073421494126654,-0.04340283394166309,-0.041065675006624384,-0.03664923043440173,-0.04002677908835709,0.00234221310049854,14
