,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_0,36,8.604353618621825,1.5034768826050482,0.09845232963562012,0.026327463886763366,60,3e-05,4,rbf,"{'C': 60, 'epsilon': 3e-05, 'gamma': 4, 'kernel': 'rbf'}",-7.148151678551989e-08,-5.115631450823785e-08,-4.381913481062093e-08,-5.5399236839586616e-08,-4.1967950187536694e-08,-5.27648306263004e-08,1.0549311463948818e-08,24
Output_0,37,6.828190851211548,1.152291332629043,0.08780708312988281,0.02049321344762075,60,3e-05,6,rbf,"{'C': 60, 'epsilon': 3e-05, 'gamma': 6, 'kernel': 'rbf'}",-5.167785309375981e-08,-4.941137513110075e-08,-6.343410096625178e-08,-3.525490380800706e-08,-3.1651653072726616e-08,-4.628597721436921e-08,1.1565004188721736e-08,8
Output_0,38,10.056852006912232,1.3362287843372636,0.09683432579040527,0.03142346844331546,60,3e-05,8,rbf,"{'C': 60, 'epsilon': 3e-05, 'gamma': 8, 'kernel': 'rbf'}",-5.887180329021906e-08,-4.7709126069486044e-08,-5.361231326841844e-08,-4.530952376047878e-08,-4.138877799775088e-08,-4.937830887727063e-08,6.184286807711493e-09,14
Output_0,39,10.08335018157959,1.1844435580033035,0.11042995452880859,0.047881627575824884,60,3e-05,10,rbf,"{'C': 60, 'epsilon': 3e-05, 'gamma': 10, 'kernel': 'rbf'}",-6.24923274087906e-08,-5.1113127822856714e-08,-4.859752549508075e-08,-3.777808002288857e-08,-5.091389714964983e-08,-5.0178991579853294e-08,7.86529819363702e-09,16
Output_0,40,7.804702568054199,1.3370191573878476,0.08599705696105957,0.02484255296807328,60,5e-05,4,rbf,"{'C': 60, 'epsilon': 5e-05, 'gamma': 4, 'kernel': 'rbf'}",-7.391085750156356e-08,-5.161570509520468e-08,-6.531062931380978e-08,-6.197003454316678e-08,-4.302308559216671e-08,-5.91660624091823e-08,1.077618244624091e-08,41
Output_0,41,8.582750272750854,0.502139653761442,0.09517998695373535,0.012899963028169405,60,5e-05,6,rbf,"{'C': 60, 'epsilon': 5e-05, 'gamma': 6, 'kernel': 'rbf'}",-6.437958965795431e-08,-4.760427870329953e-08,-5.195741681979851e-08,-4.715398398900861e-08,-4.8261016775555175e-08,-5.187125718912323e-08,6.480114386637537e-09,22
Output_0,42,7.442970323562622,1.2841734849357171,0.07291584014892578,0.016794468326465493,60,5e-05,8,rbf,"{'C': 60, 'epsilon': 5e-05, 'gamma': 8, 'kernel': 'rbf'}",-6.18768300829968e-08,-4.7107246224955287e-08,-5.7226189242562856e-08,-3.9770894433824684e-08,-5.3028389923801136e-08,-5.1801909981628154e-08,7.735842248880564e-09,21
Output_0,43,8.919704151153564,1.6398760338335048,0.08196206092834472,0.02718455359350749,60,5e-05,10,rbf,"{'C': 60, 'epsilon': 5e-05, 'gamma': 10, 'kernel': 'rbf'}",-7.251349920485578e-08,-5.142704409661688e-08,-6.124379492186444e-08,-5.246242112297726e-08,-5.63647958641317e-08,-5.8802311042089215e-08,7.674474201092865e-09,38
Output_0,44,6.5173561573028564,1.2043738043745327,0.0843510627746582,0.018266047930852073,60,0.0001,4,rbf,"{'C': 60, 'epsilon': 0.0001, 'gamma': 4, 'kernel': 'rbf'}",-8.023185570273039e-08,-8.012102071688786e-08,-6.327813997274764e-08,-8.842328099236925e-08,-5.780218972054502e-08,-7.397129742105604e-08,1.1503540114278586e-08,62
Output_0,45,7.367667627334595,0.8962340083412083,0.07807736396789551,0.005823651963875013,60,0.0001,6,rbf,"{'C': 60, 'epsilon': 0.0001, 'gamma': 6, 'kernel': 'rbf'}",-5.933619020657554e-08,-5.792988653800561e-08,-6.51171440079926e-08,-5.603160025630371e-08,-4.188438052218053e-08,-5.60598403062116e-08,7.70987353351608e-09,32
